"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"SLC27A2","solute carrier family 27 member 2","0.5","0.8349","0.1337","0.2062","0.1276","0.1227","0.4184"
"CHMP4A","charged multivesicular body protein 4A","0.5","0.0806","0.3143","0.8705","0.2905","0.6182","0.3063"
"ARHGDIA","Rho GDP dissociation inhibitor alpha","0.5","0.8188","0.2511","0.1347","0.5261","0.8583","0.417"
"OR4S2","olfactory receptor family 4 subfamily S member 2","0.5","0.7959","0.4356","0.0016","0.1486","0.1209","0.2308"
"KIF13A","kinesin family member 13A","0.5","0.7003","0.0562","0.6269","0.7614","0.3699","0.9343"
"SMIM27","small integral membrane protein 27","0.5","0.2192","0.1223","0.8721","0.2412","0.5407","0.9123"
"PTF1A","pancreas specific transcription factor, 1a","0.5","0.2643","0.2492","0.3373","0.5287","0.0163","0.7983"
"MRPS23","mitochondrial ribosomal protein S23","0.5","0.7807","0.4819","0.5767","0.481","0.7272","0.1821"
"MT1B","metallothionein 1B","0.5","0.2657","0.0483","0.4977","0.0274","0.7687","0.0215"
"MAN1A2","mannosidase alpha class 1A member 2","0.5","0.1563","0.9205","0.3929","0.9852","0.7429","0.441"
"ODF3L2","outer dense fiber of sperm tails 3 like 2","0.5","0.6265","0.4214","0.2599","0.9634","0.2875","0.935"
"RBMS1","RNA binding motif single stranded interacting protein 1","0.5","0.3097","0.1431","0.7668","0.5614","0.5726","0.4464"
"ZNF821","zinc finger protein 821","0.5","0.6537","0.6325","0.0096","0.9535","0.3762","0.7571"
"SMC1A","structural maintenance of chromosomes 1A","0.5","0.8331","0.7116","0.6265","0.9611","0.9463","0.0672"
"C15orf56","chromosome 15 open reading frame 56","0.5","0.6953","0.5478","0.357","0.0702","0.3941","0.8416"
"PLEKHH1","pleckstrin homology, MyTH4 and FERM domain containing H1","0.5","0.2913","0.8447","0.6301","0.8304","0.5658","0.3202"
"SPAG16","sperm associated antigen 16","0.5","0.2446","0.7975","0.3861","0.5535","0.7488","0.4925"
"NUP35","nucleoporin 35","0.5","0.4127","0.3319","0.6681","0.5564","0.9117","0.8116"
"COX17","COX17, cytochrome c oxidase copper chaperone","0.5","0.6716","0.2945","0.2817","0.5851","0.4702","0.5931"
"TTC30A","tetratricopeptide repeat domain 30A","0.5","0.1867","0.3621","0.3196","0.0757","0.8767","0.4611"
"PCTP","phosphatidylcholine transfer protein","0.5","0.6524","0.53","0.1556","0.0502","0.689","0.3712"
"ZBTB42","zinc finger and BTB domain containing 42","0.5","0.7356","0.6063","0.1558","0.8627","0.246","0.3193"
"GOLGA8H","golgin A8 family member H","0.5","0.5607","0.1814","0.0418","0.2562","0.2761","0.5855"
"LIPE","lipase E, hormone sensitive type","0.5","0.5136","0.0823","0.2954","0.286","0.4765","0.3031"
"CLCA1","chloride channel accessory 1","0.5","0.251","0.4676","0.1299","0.6499","0.5679","0.7052"
"CASP4","caspase 4","0.5","0.3137","0.8072","0.5274","0.9714","0.6264","0.8465"
"FTMT","ferritin mitochondrial","0.5","0.7124","0.0446","0.6602","0.1927","0.5528","0.0913"
"LEKR1","leucine, glutamate and lysine rich 1","0.5","0.8894","0.8938","0.0864","0.6367","0.6903","0.6029"
"HRASLS5","HRAS like suppressor family member 5","0.5","0.4491","0.5895","0.1991","0.2706","0.9181","0.2367"
"GMPR","guanosine monophosphate reductase","0.5","0.1819","0.6894","0.3471","0.4771","0.3068","0.8035"
"PHF8","PHD finger protein 8","0.5","0.7705","0.6013","0.4933","0.0911","0.08","0.772"
"NCOA7","nuclear receptor coactivator 7","0.5","0.3078","0.3255","0.889","0.9441","0.6673","0.9738"
"SNURF","SNRPN upstream reading frame","0.5","0.1831","0.4936","0.1578","0.7143","0.9483","0.1017"
"TBX2","T-box 2","0.5","0.8234","0.4293","0.8561","0.5406","0.1092","0.6188"
"MTRF1","mitochondrial translation release factor 1","0.5","0.977","0.4265","0.4131","0.1806","0.8826","0.7465"
"DAZ3","deleted in azoospermia 3","0.5","0.6347","0.4169","0.9615","0.6892","0.3446","0.8282"
"FAM19A4","family with sequence similarity 19 member A4, C-C motif chemokine like","0.5","0.8449","0.0279","0.5113","0.6572","0.0266","0.8903"
"ADGRF4","adhesion G protein-coupled receptor F4","0.5","0.5134","0.8057","0.1917","0.4966","0.1722","0.041"
"TBC1D3D","TBC1 domain family member 3D","0.5","0.947","0.2751","0.1062","0.773","0.6845","0.5373"
"YAF2","YY1 associated factor 2","0.5","0.6518","0.4118","0.3009","0.1826","0.2158","0.0611"
"ATG4B","autophagy related 4B cysteine peptidase","0.5","0.309","0.3035","0.8294","0.3959","0.7272","0.6788"
"RCOR1","REST corepressor 1","0.5","0.9681","0.2204","0.5485","0.7287","0.684","0.522"
"POLR2L","RNA polymerase II subunit L","0.5","0.5066","0.0146","0.4437","0.2513","0.304","0.523"
"POLI","DNA polymerase iota","0.5","0.555","0.0569","0.7419","0.4306","0.9291","0.3327"
"CBARP","CACN beta subunit associated regulatory protein","0.5","0.8959","0.3314","0.9228","0.0475","0.9147","0.0846"
"RAB3GAP1","RAB3 GTPase activating protein catalytic subunit 1","0.5","0.2123","0.5747","0.179","0.6409","0.1224","0.3813"
"RNH1","ribonuclease/angiogenin inhibitor 1","0.5","0.565","0.8476","0.3005","0.5768","0.9692","0.9833"
"UBE2Z","ubiquitin conjugating enzyme E2 Z","0.5","0.7963","0.2208","0.674","0.2005","0.3196","0.8057"
"NSUN6","NOP2/Sun RNA methyltransferase family member 6","0.5","0.0814","0.3346","0.4784","0.4455","0.0577","0.9292"
"NOLC1","nucleolar and coiled-body phosphoprotein 1","0.5","0.6971","0.559","0.3088","0.8853","0.8426","0.5056"
"ENO2","enolase 2","0.5","0.5115","0.9552","0.5289","0.0202","0.4266","0.9552"
"DISP3","dispatched RND transporter family member 3","0.5","0.4844","0.1581","0.5583","0.4676","0.3855","0.303"
"BMP5","bone morphogenetic protein 5","0.5","0.0524","0.1743","0.2089","0.1493","0.3617","0.7178"
"CTF1","cardiotrophin 1","0.5","0.5154","0.8925","0.926","0.5037","0.2016","0.0581"
"IGFBP2","insulin like growth factor binding protein 2","0.5","0.2767","0.3197","0.3469","0.9644","0.9524","0.0433"
"FAP","fibroblast activation protein alpha","0.5","0.631","0.4193","0.8603","0.8822","0.5852","0.0051"
"LYZL1","lysozyme like 1","0.5","0.6092","0.5256","0.4507","0.2851","0.242","0.4979"
"RHOV","ras homolog family member V","0.5","0.2333","0.8905","0.1185","0.311","0.4242","0.3964"
"PBDC1","polysaccharide biosynthesis domain containing 1","0.5","0.9537","0.9179","0.9498","0.3949","0.6882","0.1917"
"SPACA9","sperm acrosome associated 9","0.5","0.2566","0.0041","0.3751","0.2677","0.9908","0.299"
"RARS","arginyl-tRNA synthetase","0.5","0.4304","0.706","0.2082","0.0185","0.3794","0.7923"
"IER2","immediate early response 2","0.5","0.0581","0.0973","0.1982","0.8999","0.0133","0.5865"
"PANK2","pantothenate kinase 2","0.5","0.4187","0.1374","0.8456","0.1208","0.1186","0.5982"
"EPSTI1","epithelial stromal interaction 1","0.5","0.3866","0.503","0.7666","0.2372","0.213","0.3074"
"CTTN","cortactin","0.5","0.9989","0.8077","0.6499","0.277","0.5981","0.4431"
"FANCL","Fanconi anemia complementation group L","0.5","0.8466","0.1096","0.8733","0.391","0.9895","0.1452"
"ZNF74","zinc finger protein 74","0.5","0.4539","0.6277","0.4116","0.4316","0.0186","0.9402"
"ACOXL","acyl-CoA oxidase like","0.5","0.5329","0.8715","0.7724","0.1181","0.1332","0.6594"
"BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone","0.5","0.866","0.6131","0.2168","0.1682","0.2803","0.0932"
"SPATA31D4","SPATA31 subfamily D member 4","0.5","0.2103","0.5383","0.0348","0.9107","0.3314","0.4339"
"KAZALD1","Kazal type serine peptidase inhibitor domain 1","0.5","0.1037","0.2254","0.5405","0.0933","0.3374","0.2034"
"C22orf15","chromosome 22 open reading frame 15","0.5","0.8181","0.6564","0.4409","0.6494","0.223","0.4085"
"OR4F4","olfactory receptor family 4 subfamily F member 4","0.5","0.089","0.1131","0.0985","0.5515","0.118","0.9076"
"CCDC42","coiled-coil domain containing 42","0.5","0.6423","0.9974","0.2892","0.5125","0.5536","0.2101"
"GALR2","galanin receptor 2","0.5","0.9069","0.6606","0.6462","0.5758","0.0972","0.1448"
"CAAP1","caspase activity and apoptosis inhibitor 1","0.5","0.3911","0.8012","0.9439","0.3185","0.22","0.8789"
"GAB1","GRB2 associated binding protein 1","0.5","0.7197","0.8549","0.8462","0.0292","0.985","0.4541"
"ACO2","aconitase 2","0.5","0.6743","0.9707","0.5583","0.0665","0.855","0.866"
"S100A7L2","S100 calcium binding protein A7 like 2","0.5","0.876","0.4614","0.3785","0.3526","0.1421","0.0852"
"MRPL57","mitochondrial ribosomal protein L57","0.5","0.1749","0.1309","0.0143","0.1087","0.3777","0.8419"
"CDK12","cyclin dependent kinase 12","0.5","0.119","0.997","0.2028","0.7436","0.3534","0.7824"
"KCNA7","potassium voltage-gated channel subfamily A member 7","0.5","0.3443","0.6856","0.4","0.1347","0.042","0.156"
"LIN7A","lin-7 homolog A, crumbs cell polarity complex component","0.5","0.2334","0.2058","0.2589","0.6494","0.9125","0.0254"
"NRP2","neuropilin 2","0.5","0.059","0.5639","0.2633","0.1729","0.7227","0.5521"
"EMP2","epithelial membrane protein 2","0.5","0.8056","0.9443","0.6271","0.5222","0.647","0.4558"
"TENM3","teneurin transmembrane protein 3","0.5","0.8031","0.6223","0.9266","0.6554","0.4277","0.5156"
"FGD1","FYVE, RhoGEF and PH domain containing 1","0.5","0.4795","0.1029","0.1499","0.0311","0.8932","0.1006"
"PTPRD","protein tyrosine phosphatase, receptor type D","0.5","0.3902","0.7754","0.3677","0.2803","0.1912","0.7323"
"MYF5","myogenic factor 5","0.5","0.5232","0.636","0.6097","0.3287","0.5773","0.629"
"ESPL1","extra spindle pole bodies like 1, separase","0.5","0.3203","0.4512","0.9201","0.4736","0.1478","0.6878"
"SYNM","synemin","0.5","0.0817","0.5539","0.6714","0.6109","0.0445","0.6584"
"OR10J4","olfactory receptor family 10 subfamily J member 4 (gene/pseudogene)","0.5","0.5904","0.6857","0.2693","0.2013","0.0277","0.9866"
"RSPO4","R-spondin 4","0.5","0.1905","0.9175","0.5957","0.0654","0.2539","0.9619"
"OPN1MW3","opsin 1, medium wave sensitive 3","0.5","0.7717","0.3924","0.2413","0.9756","0.3041","0.2344"
"CEP192","centrosomal protein 192","0.5","0.8332","0.566","0.757","0.4536","0.0825","0.6516"
"CUL5","cullin 5","0.5","0.5587","0.4054","0.8895","0.9541","0.0827","0.0698"
"BSX","brain specific homeobox","0.5","0.458","0.9051","0.8866","0.2225","0.5349","0.9144"
"AFTPH","aftiphilin","0.5","0.2964","0.2652","0.9764","0.7087","0.1551","0.9174"
"SLC25A45","solute carrier family 25 member 45","0.5","0.2288","0.3352","0.1467","0.7167","0.6246","0.4471"
"FGF9","fibroblast growth factor 9","0.5","0.1744","0.8456","0.2422","0.3462","0.7368","0.4144"
"C15orf53","chromosome 15 open reading frame 53","0.5","0.224","0.3935","0.8268","0.595","0.9061","0.619"
"POLA1","DNA polymerase alpha 1, catalytic subunit","0.5","0.1229","0.0079","0.8931","0.0701","0.2064","0.4776"
"TMEM204","transmembrane protein 204","0.5","0.6901","0.7436","0.9333","0.6769","0.8715","0.7287"
"TXLNG","taxilin gamma","0.5","0.9987","0.0311","0.9777","0.7739","0.8223","0.9391"
"TEN1","TEN1, CST complex subunit","0.5","0.9128","0.9276","0.9038","0.0228","0.9025","0.041"
"RAPGEF1","Rap guanine nucleotide exchange factor 1","0.5","0.6769","0.5717","0.8138","0.7563","0.4619","0.5331"
"USPL1","ubiquitin specific peptidase like 1","0.5","0.572","0.2139","0.7288","0.4605","0.3537","0.8023"
"MS4A10","membrane spanning 4-domains A10","0.5","0.2115","0.1087","0.9039","0.89","0.7308","0.4274"
"RIPPLY1","ripply transcriptional repressor 1","0.5","0.3683","0.3127","0.5157","0.6101","0.3212","0.1324"
"WNT2B","Wnt family member 2B","0.5","0.045","0.9949","0.11","0.8346","0.3371","0.9265"
"HAUS2","HAUS augmin like complex subunit 2","0.5","0.3738","0.9761","0.2357","0.7391","0.0707","0.2287"
"CCDC70","coiled-coil domain containing 70","0.5","0.8549","0.1203","0.1216","0.4337","0.0722","0.152"
"ELP5","elongator acetyltransferase complex subunit 5","0.5","0.5084","0.7261","0.0942","0.6819","0.4829","0.3638"
"RRP8","ribosomal RNA processing 8, methyltransferase, homolog (yeast)","0.5","0.7861","0.3136","0.2543","0.1149","0.1428","0.3089"
"BMP8B","bone morphogenetic protein 8b","0.5","0.8629","0.0821","0.2714","0.7635","0.1654","0.6015"
"SEMA5B","semaphorin 5B","0.5","0.3038","0.1755","0.821","0.3875","0.4896","0.3477"
"MAGEB1","MAGE family member B1","0.5","0.6089","0.862","0.7542","0.6063","0.0869","0.2648"
"DCX","doublecortin","0.5","0.3172","0.1795","0.3729","0.4749","0.5127","0.5882"
"RABL3","RAB, member of RAS oncogene family like 3","0.5","0.6421","0.4984","0.9072","0.9901","0.7777","0.3575"
"FAM133A","family with sequence similarity 133 member A","0.5","0.5009","0.4426","0.623","0.3249","0.7376","0.9482"
"DPPA2","developmental pluripotency associated 2","0.5","0.8932","0.3183","0.2413","0.348","0.0767","0.7986"
"GBX1","gastrulation brain homeobox 1","0.5","0.7859","0.586","0.1208","0.1584","0.5518","0.9119"
"HIBCH","3-hydroxyisobutyryl-CoA hydrolase","0.5","0.7091","0.0777","0.8879","0.2441","0.6094","0.4408"
"DPYSL3","dihydropyrimidinase like 3","0.5","0.9763","0.0882","0.3161","0.67","0.6431","0.745"
"ZIK1","zinc finger protein interacting with K protein 1","0.5","0.9029","0.5857","0.9634","0.1688","0.4236","0.2737"
"SSFA2","sperm specific antigen 2","0.5","0.7056","0.3267","0.534","0.1865","0.622","0.8969"
"SLC25A28","solute carrier family 25 member 28","0.5","0.8565","0.5178","0.4425","0.7745","0.0318","0.7344"
"MALRD1","MAM and LDL receptor class A domain containing 1","0.5","0.596","0.1103","0.2577","0.4981","0.6187","0.2084"
"DPP9","dipeptidyl peptidase 9","0.5","0.1916","0.3954","0.6171","0.238","0.3413","0.1158"
"REG3A","regenerating family member 3 alpha","0.5","0.9539","0.5205","0.5659","0.1871","0.7569","0.9873"
"OR4C13","olfactory receptor family 4 subfamily C member 13","0.5","0.6451","0.2932","0.6781","0.6429","0.7956","0.4422"
"C5orf49","chromosome 5 open reading frame 49","0.5","0.7031","0.2191","0.0917","0.0971","0.3741","0.1956"
"DUSP4","dual specificity phosphatase 4","0.5","0.4633","0.4842","0.8477","0.9542","0.1583","0.3371"
"RPS10-NUDT3","RPS10-NUDT3 readthrough","0.5","0.5451","0.856","0.5025","0.7506","0.8819","0.8724"
"ZMAT4","zinc finger matrin-type 4","0.5","0.8565","0.9595","0.39","0.5281","0.5445","0.6885"
"DBN1","drebrin 1","0.5","0.0167","0.1808","0.5482","0.0377","0.6049","0.1581"
"NCAPD2","non-SMC condensin I complex subunit D2","0.5","0.9791","0.4488","0.9673","0.4637","0.6665","0.4117"
"SYNPO","synaptopodin","0.5","0.4719","0.277","0.7499","0.7628","0.1679","0.245"
"CCDC66","coiled-coil domain containing 66","0.5","0.8984","0.4663","0.9105","0.1545","0.4851","0.4655"
"ZNF84","zinc finger protein 84","0.5","0.2294","0.7442","0.4789","0.1034","0.5431","0.7139"
"ATP2B1","ATPase plasma membrane Ca2+ transporting 1","0.5","0.9372","0.6022","0.2779","0.3787","0.2297","0.4595"
"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","0.5","0.7101","0.3056","0.9901","0.1744","0.8785","0.0591"
"TCF7L1","transcription factor 7 like 1","0.5","0.7613","0.9519","0.0578","0.1427","0.7386","0.3978"
"MYF6","myogenic factor 6","0.5","0.7025","0.6863","0.3264","0.8852","0.6544","0.6046"
"ZNF469","zinc finger protein 469","0.5","0.9522","0.6427","0.945","0.1088","0.3927","0.285"
"TBC1D10C","TBC1 domain family member 10C","0.5","0.9287","0.6429","0.8687","0.4925","0.5412","0.9142"
"HS6ST2","heparan sulfate 6-O-sulfotransferase 2","0.5","0.6426","0.1178","0.972","0.4109","0.1446","0.9643"
"MRGPRX1","MAS related GPR family member X1","0.5","0.4701","0.2235","0.4637","0.634","0.5417","0.5466"
"CYCS","cytochrome c, somatic","0.5","0.1644","0.9242","0.3367","0.8555","0.7144","0.0894"
"SLCO1B3","solute carrier organic anion transporter family member 1B3","0.5","0.6609","0.1971","0.502","0.5392","0.1333","0.7572"
"OR2M2","olfactory receptor family 2 subfamily M member 2","0.5","0.639","0.7196","0.557","0.4184","0.4705","0.3459"
"DYNLRB2","dynein light chain roadblock-type 2","0.5","0.7702","0.0416","0.3074","0.0198","0.2501","0.604"
"FAM218A","family with sequence similarity 218 member A","0.5","0.8916","0.9187","0.4496","0.5246","0.3877","0.2642"
"KLF8","Kruppel like factor 8","0.5","0.1655","0.8923","0.1269","0.3298","0.7454","0.1249"
"NTF3","neurotrophin 3","0.5","0.7189","0.9446","0.0022","0.6396","0.5023","0.9408"
"MTCH2","mitochondrial carrier 2","0.5","0.6969","0.4202","0.8798","0.2359","0.2573","0.3069"
"SPOCK2","SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2","0.5","0.7137","0.3172","0.8242","0.8706","0.3265","0.9556"
"ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","0.5","0.7511","0.961","0.7749","0.2665","0.1396","0.6104"
"AGO1","argonaute 1, RISC catalytic component","0.5","0.2903","0.0468","0.405","0.9808","0.1163","0.8084"
"SLC22A5","solute carrier family 22 member 5","0.5","0.4155","0.4152","0.1457","0.5284","0.0672","0.1057"
"CTXN2","cortexin 2","0.5","0.0529","0.393","0.3443","0.6004","0.2024","0.2047"
"NOL12","nucleolar protein 12","0.5","0.6179","0.2928","0.6736","0.433","0.1289","0.6872"
"YOD1","YOD1 deubiquitinase","0.5","0.0396","0.6046","0.3888","0.5311","0.2966","0.7414"
"PDX1","pancreatic and duodenal homeobox 1","0.5","0.4433","0.1522","0.2471","0.2353","0.3571","0.5494"
"UQCRH","ubiquinol-cytochrome c reductase hinge protein","0.5","0.5365","0.6971","0.3187","0.0497","0.6829","0.4919"
"MEIKIN","meiotic kinetochore factor","0.5","0.0161","0.2198","0.4466","0.3981","0.2197","0.8544"
"ACVR2A","activin A receptor type 2A","0.5","0.6038","0.6214","0.521","0.1429","0.0129","0.476"
"IGLL1","immunoglobulin lambda like polypeptide 1","0.5","0.8536","0.661","0.7715","0.6348","0.8087","0.1645"
"LASP1","LIM and SH3 protein 1","0.5","0.2465","0.8812","0.3824","0.8775","0.1436","0.3497"
"KRTAP5-7","keratin associated protein 5-7","0.5","0.5604","0.3853","0.1405","0.7477","0.7576","0.8348"
"SSSCA1","Sjogren syndrome/scleroderma autoantigen 1","0.5","0.425","0.5637","0.405","0.8559","0.5267","0.735"
"RABIF","RAB interacting factor","0.5","0.676","0.5438","0.2234","0.6582","0.1685","0.7303"
"TDP1","tyrosyl-DNA phosphodiesterase 1","0.5","0.0956","0.1918","0.3412","0.7486","0.551","0.1626"
"C7orf33","chromosome 7 open reading frame 33","0.5","0.55","0.3789","0.61","0.1577","0.7481","0.5397"
"GPR171","G protein-coupled receptor 171","0.5","0.5593","0.5769","0.0539","0.0362","0.5129","0.0947"
"EPHX1","epoxide hydrolase 1","0.5","0.7827","0.617","0.6308","0.7267","0.234","0.4387"
"WDR35","WD repeat domain 35","0.5","0.2318","0.4701","0.6298","0.8235","0.737","0.2612"
"OR7C2","olfactory receptor family 7 subfamily C member 2","0.5","0.0957","0.5296","0.2821","0.387","0.5317","0.9525"
"NRDE2","NRDE-2, necessary for RNA interference, domain containing","0.5","0.708","0.0631","0.7743","0.2439","0.128","0.4254"
"CTU1","cytosolic thiouridylase subunit 1","0.5","0.1117","0.1552","0.9037","0.6259","0.5042","0.8672"
"KRTCAP3","keratinocyte associated protein 3","0.5","0.2475","0.5163","0.3382","0.778","0.774","0.7855"
"NKAP","NFKB activating protein","0.5","0.285","0.642","0.9524","0.9584","0.7858","0.4256"
"C9orf139","chromosome 9 open reading frame 139","0.5","0.4061","0.3834","0.9912","0.2453","0.6239","0.275"
"NODAL","nodal growth differentiation factor","0.5","0.5278","0.3684","0.5764","0.1264","0.5748","0.188"
"CXorf49","chromosome X open reading frame 49","0.5","0.3139","0.1857","0.5429","0.0401","0.223","0.9001"
"ADGRD1","adhesion G protein-coupled receptor D1","0.5","0.3695","0.4049","0.1619","0.9858","0.0903","0.7311"
"HARBI1","harbinger transposase derived 1","0.5","0.4816","0.0963","0.1957","0.5957","0.0242","0.9032"
"ASPG","asparaginase","0.5","0.7692","0.9152","0.1443","0.1941","0.9405","0.1281"
"TMEM185A","transmembrane protein 185A","0.5","0.8483","0.1784","0.6025","0.268","0.6785","0.8666"
"GBE1","1,4-alpha-glucan branching enzyme 1","0.5","0.3657","0.2077","0.2903","0.2122","0.9545","0.2404"
"NGB","neuroglobin","0.5","0.0014","0.5362","0.9937","0.1349","0.1755","0.2573"
"RASGRF1","Ras protein specific guanine nucleotide releasing factor 1","0.5","0.8556","0.191","0.6332","0.1223","0.7375","0.1958"
"OAS3","2'-5'-oligoadenylate synthetase 3","0.5","0.7387","0.1747","0.9494","0.1737","0.1949","0.6626"
"OPRM1","opioid receptor mu 1","0.5","0.899","0.9631","0.8612","0.9865","0.7867","0.7646"
"TRIM6-TRIM34","TRIM6-TRIM34 readthrough","0.5","0.1257","0.619","0.3841","0.9703","0.4983","0.5945"
"GPM6B","glycoprotein M6B","0.5","0.4985","0.4498","0.7395","0.9886","0.1162","0.4248"
"ARHGAP21","Rho GTPase activating protein 21","0.5","0.0896","0.6446","0.0027","0.9878","0.1415","0.7928"
"SMIM20","small integral membrane protein 20","0.5","0.166","0.0159","0.1283","0.3586","0.1863","0.9066"
"RLN2","relaxin 2","0.5","0.841","0.8217","0.6909","0.9533","0.082","0.3952"
"TRIM64C","tripartite motif containing 64C","0.5","0.04","0.3113","0.0558","0.2609","0.161","0.7537"
"ZDHHC13","zinc finger DHHC-type containing 13","0.5","0.6595","0.2557","0.9398","0.7473","0.5878","0.0862"
"GEMIN5","gem nuclear organelle associated protein 5","0.5","0.6225","0.4976","0.9553","0.3958","0.1638","0.7881"
"RD3L","retinal degeneration 3-like","0.5","0.7452","0.7059","0.8994","0.8072","0.1882","0.2272"
"SLC29A2","solute carrier family 29 member 2","0.5","0.4136","0.7066","0.182","0.0131","0.148","0.7708"
"TMEM200C","transmembrane protein 200C","0.5","0.4503","0.7442","0.8185","0.6459","0.2604","0.5171"
"DVL2","dishevelled segment polarity protein 2","0.5","0.5012","0.5362","0.8599","0.3892","0.6597","0.7429"
"MED22","mediator complex subunit 22","0.5","0.8745","0.3507","0.455","0.7222","0.081","0.1575"
"SP140","SP140 nuclear body protein","0.5","0.1676","0.6792","0.9071","0.6277","0.4252","0.9384"
"PPP1R35","protein phosphatase 1 regulatory subunit 35","0.5","0.7385","0.3527","0.5165","0.6984","0.7606","0.0658"
"RBPJL","recombination signal binding protein for immunoglobulin kappa J region like","0.5","0.1682","0.1869","0.8266","0.1557","0.0168","0.8521"
"ZNF131","zinc finger protein 131","0.5","0.4038","0.5171","0.0716","0.1653","0.3279","0.5452"
"ADAM11","ADAM metallopeptidase domain 11","0.5","0.121","0.7224","0.8117","0.369","0.5815","0.1156"
"MLLT1","MLLT1, super elongation complex subunit","0.5","0.0514","0.4445","0.2987","0.8169","0.326","0.431"
"CLDN9","claudin 9","0.5","0.9005","0.2417","0.815","0.3054","0.1619","0.7712"
"ARRDC3","arrestin domain containing 3","0.5","0.9126","0.8333","0.4595","0.1536","0.5221","0.5243"
